@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
263,'2021/11/10 17:52:29:864',5,264,22,259,250,252,248,0.366745,0.007814,0.72693
264,'2021/11/10 17:52:29:864',5,264,22,257,250,252,248,0.366745,0.007814,0.72693
265,'2021/11/10 17:52:29:864',5,264,19,257,250,252,248,0.366745,0.007814,0.72693
266,'2021/11/10 17:52:29:909',5,264,19,257,250,252,249,0.366745,0.007814,0.72693
267,'2021/11/10 17:52:29:910',5,264,19,257,250,250,249,0.366745,0.007814,0.72693
268,'2021/11/10 17:52:29:910',5,264,19,257,246,250,249,0.366745,0.007814,0.72693
269,'2021/11/10 17:52:29:910',5,264,19,256,246,250,249,0.366745,0.007814,0.72693
270,'2021/11/10 17:52:29:910',5,264,23,256,246,250,249,0.366745,0.007814,0.72693
271,'2021/11/10 17:52:29:910',5,261,23,256,246,250,249,0.366745,0.007814,0.72693
272,'2021/11/10 17:52:29:939',5,261,23,256,246,250,246,0.366745,0.007814,0.72693
273,'2021/11/10 17:52:29:939',5,261,23,256,246,249,246,0.366745,0.007814,0.72693
274,'2021/11/10 17:52:29:940',5,261,23,256,251,249,246,0.366745,0.007814,0.72693
275,'2021/11/10 17:52:29:940',5,261,23,257,251,249,246,0.366745,0.007814,0.72693
276,'2021/11/10 17:52:29:940',5,261,22,257,251,249,246,0.366745,0.007814,0.72693
277,'2021/11/10 17:52:29:940',5,260,22,257,251,249,246,0.366745,0.007814,0.72693
